2025-09-02 | ETL_get_article_contents | INFO     | Logger 'ETL_get_article_contents' initialized. Logging to: logs/ETL_get_article_contents.log
2025-09-02 | ETL_get_article_contents | INFO     | 🚀 Starting ETL pipeline for article contents...
2025-09-02 | ETL_get_article_contents | INFO     | ============================================================
2025-09-02 | ETL_get_article_contents | INFO     | COLLECTING URLS TO SCRAPE THEIR CONTENTS
2025-09-02 | ETL_get_article_contents | INFO     | ============================================================
2025-09-02 | ETL_get_article_contents | INFO     | Retrieved 1000 total articles from article_urls.
2025-09-02 | ETL_get_article_contents | INFO     | Retrieved 835 existing article_ids from 'article_contents'
2025-09-02 | ETL_get_article_contents | INFO     | 🆕 169 articles still need to be scraped.
2025-09-02 | ETL_get_article_contents | INFO     | 📋 169 articles pending scraping.
2025-09-02 | ETL_get_article_contents | INFO     | ============================================================
2025-09-02 | ETL_get_article_contents | INFO     | SCRAPING ARTICLE CONTENTS
2025-09-02 | ETL_get_article_contents | INFO     | ============================================================
2025-09-02 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.soycolchonero.es/noticias-del-atletico-de-madrid/el primer-fichaje-del-atletico-de-madrid-para-2025-2026-es-uruguayo-20250318-8948.html
2025-09-02 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.soycolchonero.es/noticias-del-atletico-de-madrid/el-atletico-de-madrid-fichara-a-alex-baena-del-villarreal-este-verano-20250321-8956.html
2025-09-02 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.soycolchonero.es/noticias-del-atletico-de-madrid/angel-correa-abandonara-el-atletico-de-madrid-este-verano-el-adios-a-un-angel-20250324-8965.html
2025-09-02 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://atletimania.com/2025/08/21/espanyol-atletico-previa-convocatoria-alineaciones-probables-horario-canal-y-donde-ver-en-en-vivo-por-tv-hoy-el-partido-de-la-jornada-1-de-primera-division/
2025-09-02 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.marca.com/futbol/athletic/2025/08/25/athletic-rayo-vallecano-horario-ver-hoy-tv-canal-partido-laliga-ea-sports.html
2025-09-02 | ETL_get_article_contents | WARNING  | ⚠️ Skipping https://www.marca.com/futbol/athletic/2025/08/25/athletic-rayo-vallecano-horario-ver-hoy-tv-canal-partido-laliga-ea-sports.html — empty text scraped.
2025-09-02 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://as.com/futbol/alaves/2025/08/12/alaves-quiere-repetir-operacion-panichelli-fichaje-albarracin.html
2025-09-02 | ETL_get_article_contents | WARNING  | ⚠️ Skipping https://www.soycolchonero.es/noticias-del-atletico-de-madrid/angel-correa-abandonara-el-atletico-de-madrid-este-verano-el-adios-a-un-angel-20250324-8965.html — empty text scraped.
2025-09-02 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.marca.com/futbol/alaves/2025/08/16/alaves-levante-registrarse-primera-previa-analisis-pronostico-prediccion.html
2025-09-02 | ETL_get_article_contents | WARNING  | ⚠️ Skipping https://atletimania.com/2025/08/21/espanyol-atletico-previa-convocatoria-alineaciones-probables-horario-canal-y-donde-ver-en-en-vivo-por-tv-hoy-el-partido-de-la-jornada-1-de-primera-division/ — empty text scraped.
2025-09-02 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.estadiodeportivo.com/futbol/betis/antony-aeropuerto-manchester-listo-para-viajar-betis-20250827-509469.html
2025-09-02 | ETL_get_article_contents | WARNING  | ⚠️ Skipping https://www.soycolchonero.es/noticias-del-atletico-de-madrid/el primer-fichaje-del-atletico-de-madrid-para-2025-2026-es-uruguayo-20250318-8948.html — empty text scraped.
2025-09-02 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.marca.com/futbol/betis/2025/08/27/celta-betis-anulan-balaidos.html
2025-09-02 | ETL_get_article_contents | WARNING  | ⚠️ Skipping https://as.com/futbol/alaves/2025/08/12/alaves-quiere-repetir-operacion-panichelli-fichaje-albarracin.html — empty text scraped.
2025-09-02 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.elcorreo.com/
2025-09-02 | ETL_get_article_contents | WARNING  | ⚠️ Skipping https://www.marca.com/futbol/alaves/2025/08/16/alaves-levante-registrarse-primera-previa-analisis-pronostico-prediccion.html — empty text scraped.
2025-09-02 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.lavozdegalicia.es/noticia/gradario/2025/08/27/giraldez-equipo-mejorar-individualidades-120967900.html
2025-09-02 | ETL_get_article_contents | WARNING  | ⚠️ Skipping https://www.soycolchonero.es/noticias-del-atletico-de-madrid/el-atletico-de-madrid-fichara-a-alex-baena-del-villarreal-este-verano-20250321-8956.html — empty text scraped.
2025-09-02 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.marca.com/futbol/primera-division/2025/08/24/elche-rompe-maldicion-tenian-50-anos.html
2025-09-02 | ETL_get_article_contents | WARNING  | ⚠️ Skipping https://www.estadiodeportivo.com/futbol/betis/antony-aeropuerto-manchester-listo-para-viajar-betis-20250827-509469.html — empty text scraped.
2025-09-02 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://as.com/futbol/primera/2025/08/21/atletico-elche-horario-y-donde-ver-hoy-en-tv-y-canal-del-partido-de-laliga-ea-sports.html
2025-09-02 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://as.com/futbol/primera/2025/08/23/alineacion-atletico-elche-hoy-partido-laliga-ea-sports.html
2025-09-02 | ETL_get_article_contents | WARNING  | ⚠️ Skipping https://www.marca.com/futbol/betis/2025/08/27/celta-betis-anulan-balaidos.html — empty text scraped.
2025-09-02 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://teleelx.es/2025/08/28/elche-busca-la-cesion-de-tyrell-malacia/
2025-09-02 | ETL_get_article_contents | WARNING  | ⚠️ Skipping https://www.lavozdegalicia.es/noticia/gradario/2025/08/27/giraldez-equipo-mejorar-individualidades-120967900.html — empty text scraped.
2025-09-02 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.eldesmarque.com/futbol/elche-cf/20250825/elche-cierra-fichaje-inaki-pena-20250825-509194.html
2025-09-02 | ETL_get_article_contents | WARNING  | ⚠️ Skipping https://www.marca.com/futbol/primera-division/2025/08/24/elche-rompe-maldicion-tenian-50-anos.html — empty text scraped.
2025-09-02 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://as.com/futbol/primera/oficial-antony-vuelve-al-betis-n/
2025-09-02 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.mundodeportivo.com/futbol/rcd-espanyol/20250828/1002521689/urko-esta-barcelona-firmar-espanyol.html
2025-09-02 | ETL_get_article_contents | WARNING  | ⚠️ Skipping https://as.com/futbol/primera/2025/08/21/atletico-elche-horario-y-donde-ver-hoy-en-tv-y-canal-del-partido-de-laliga-ea-sports.html — empty text scraped.
2025-09-02 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://as.com/futbol/primera/uche-quiere-frenar-su-salida-n/
2025-09-02 | ETL_get_article_contents | WARNING  | ⚠️ Skipping https://as.com/futbol/primera/2025/08/23/alineacion-atletico-elche-hoy-partido-laliga-ea-sports.html — empty text scraped.
2025-09-02 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.estadiodeportivo.com/futbol/getafe/bordalas-sobre-inscritos-logica-preocupacion-20250823-508923.html
2025-09-02 | ETL_get_article_contents | WARNING  | ⚠️ Skipping https://teleelx.es/2025/08/28/elche-busca-la-cesion-de-tyrell-malacia/ — empty text scraped.
2025-09-02 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.estadiodeportivo.com/futbol/girona/alex-moreno-una-alegria-girona-2025/08/22-508869.html
2025-09-02 | ETL_get_article_contents | WARNING  | ⚠️ Skipping https://www.eldesmarque.com/futbol/elche-cf/20250825/elche-cierra-fichaje-inaki-pena-20250825-509194.html — empty text scraped.
2025-09-02 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.estadiodeportivo.com/futbol/girona/traspaso-ounahi-cerrado-2025-08-28-509534.html
2025-09-02 | ETL_get_article_contents | WARNING  | ⚠️ Skipping https://www.estadiodeportivo.com/futbol/girona/alex-moreno-una-alegria-girona-2025/08/22-508869.html — empty text scraped.
2025-09-02 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.estadiodeportivo.com/futbol/girona/oferta-para-cerrar-llegada-vladyslav-vanat-2025-08-25-509127.html
2025-09-02 | ETL_get_article_contents | WARNING  | ⚠️ Skipping https://www.estadiodeportivo.com/futbol/girona/traspaso-ounahi-cerrado-2025-08-28-509534.html — empty text scraped.
2025-09-02 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.estadiodeportivo.com/futbol/girona/portu-david-lopez-cargan-duramente-contra-sus-companeros-2025-08-26-509350.html
