2025-09-11 | ETL_get_next_match_news | INFO     | Logger 'ETL_get_next_match_news' initialized. Logging to: logs/ETL_get_next_match_news.log
2025-09-11 | ETL_get_next_match_news | INFO     | 🚀 Starting ETL pipeline for ETL_get_next_match_news...
2025-09-11 | ETL_get_next_match_news | INFO     | ============================================================
2025-09-11 | ETL_get_next_match_news | INFO     | READING SUPABASE TABLE AND EXTRACTING UNIQUE TEAMS
2025-09-11 | ETL_get_next_match_news | INFO     | ============================================================
2025-09-11 | ETL_get_next_match_news | INFO     | ✅ Retrieved 20 unique teams from 'article_urls'
2025-09-11 | ETL_get_next_match_news | INFO     | Processing 20 teams: ['Alaves', 'Athletic Bilbao', 'Atletico Madrid', 'Barcelona', 'Betis', 'Celta de Vigo', 'Elche', 'Espanyol', 'Getafe', 'Girona', 'Levante', 'Mallorca', 'Osasuna', 'Oviedo', 'Rayo Vallecano', 'Real Madrid', 'Real Sociedad', 'Sevilla FC', 'Valencia', 'Villareal']
2025-09-11 | ETL_get_next_match_news | INFO     | ============================================================
2025-09-11 | ETL_get_next_match_news | INFO     | HANDLING NEXT MATCHES FOR TEAM: Alaves
2025-09-11 | ETL_get_next_match_news | INFO     | ============================================================
2025-09-11 | ETL_get_next_match_news | INFO     | Extract all articles from the last 7 days...
2025-09-11 | ETL_get_next_match_news | INFO     | No articles found in 'article_contents' within the last 7 days.
2025-09-11 | ETL_get_next_match_news | INFO     | No recent articles. Exiting.
