2025-08-29 | ETL_get_relevant_articles | INFO     | Logger 'ETL_get_relevant_articles' initialized. Logging to: logs/ETL_get_relevant_articles.log
2025-08-29 | ETL_get_relevant_articles | INFO     | 🚀 Starting ETL pipeline for relevant articles...
2025-08-29 | ETL_get_relevant_articles | INFO     | ============================================================
2025-08-29 | ETL_get_relevant_articles | INFO     | STARTING URL EXTRACTION PROCESS
2025-08-29 | ETL_get_relevant_articles | INFO     | Scope: 20 teams, 119 total sources
2025-08-29 | ETL_get_relevant_articles | INFO     | ============================================================
2025-08-29 | ETL_get_relevant_articles | INFO     | ------------------------------
2025-08-29 | ETL_get_relevant_articles | INFO     | Team 1/20: Alaves
2025-08-29 | ETL_get_relevant_articles | INFO     | ------------------------------
2025-08-29 | ETL_get_relevant_articles | INFO     | -> Scraping: https://www.noticiasdealava.eus/alaves
2025-08-29 | ETL_get_relevant_articles | INFO     | --> Found 93 unique links (was 175 before deduplication)
2025-08-29 | ETL_get_relevant_articles | INFO     | -> Scraping: https://www.eitb.eus/es/deportes/futbol/alaves
2025-08-29 | ETL_get_relevant_articles | INFO     | --> Found 151 unique links (was 279 before deduplication)
2025-08-29 | ETL_get_relevant_articles | INFO     | -> Scraping: https://www.eldesmarque.com/futbol/deportivo-alaves/
2025-08-29 | ETL_get_relevant_articles | INFO     | --> Found 135 unique links (was 219 before deduplication)
2025-08-29 | ETL_get_relevant_articles | INFO     | -> Scraping: https://www.mundodeportivo.com/futbol/alaves
2025-08-29 | ETL_get_relevant_articles | INFO     | --> Found 200 unique links (was 229 before deduplication)
2025-08-29 | ETL_get_relevant_articles | INFO     | -> Scraping: https://www.relevo.com/futbol/equipos/deportivo-alaves
2025-08-29 | ETL_get_relevant_articles | INFO     | --> Found 253 unique links (was 369 before deduplication)
2025-08-29 | ETL_get_relevant_articles | INFO     | -> Scraping: https://as.com/noticias/deportivo-alaves
2025-08-29 | ETL_get_relevant_articles | INFO     | --> Found 77 unique links (was 129 before deduplication)
2025-08-29 | ETL_get_relevant_articles | INFO     | -> Scraping: https://www.marca.com/futbol/alaves.html?intcmp=MENUESCU&s_kw=alaves
2025-08-29 | ETL_get_relevant_articles | INFO     | --> Found 425 unique links (was 484 before deduplication)
2025-08-29 | ETL_get_relevant_articles | INFO     | ------------------------------
2025-08-29 | ETL_get_relevant_articles | INFO     | Team 2/20: Athletic Bilbao
2025-08-29 | ETL_get_relevant_articles | INFO     | ------------------------------
2025-08-29 | ETL_get_relevant_articles | INFO     | -> Scraping: https://www.deia.eus/athletic/
2025-08-29 | ETL_get_relevant_articles | INFO     | --> Found 92 unique links (was 177 before deduplication)
2025-08-29 | ETL_get_relevant_articles | INFO     | -> Scraping: https://www.eitb.eus/es/deportes/futbol/athletic/
2025-08-29 | ETL_get_relevant_articles | INFO     | --> Found 161 unique links (was 293 before deduplication)
2025-08-29 | ETL_get_relevant_articles | INFO     | -> Scraping: https://www.marca.com/futbol/athletic.html?intcmp=MENUESCU&s_kw=athletic
2025-08-29 | ETL_get_relevant_articles | INFO     | --> Found 424 unique links (was 483 before deduplication)
2025-08-29 | ETL_get_relevant_articles | INFO     | -> Scraping: https://as.com/noticias/athletic/
2025-08-29 | ETL_get_relevant_articles | INFO     | --> Found 76 unique links (was 122 before deduplication)
2025-08-29 | ETL_get_relevant_articles | INFO     | -> Scraping: https://www.estadiodeportivo.com/futbol/athletic-club-bilbao/
2025-08-29 | ETL_get_relevant_articles | INFO     | --> Found 185 unique links (was 211 before deduplication)
2025-08-29 | ETL_get_relevant_articles | INFO     | -> Scraping: https://www.eldesmarque.com/futbol/athletic-club/
2025-08-29 | ETL_get_relevant_articles | INFO     | --> Found 134 unique links (was 214 before deduplication)
2025-08-29 | ETL_get_relevant_articles | INFO     | ------------------------------
2025-08-29 | ETL_get_relevant_articles | INFO     | Team 3/20: Atletico Madrid
2025-08-29 | ETL_get_relevant_articles | INFO     | ------------------------------
2025-08-29 | ETL_get_relevant_articles | INFO     | -> Scraping: https://www.soycolchonero.es
2025-08-29 | ETL_get_relevant_articles | INFO     | --> Found 35 unique links (was 37 before deduplication)
2025-08-29 | ETL_get_relevant_articles | INFO     | -> Scraping: https://atletimania.com
2025-08-29 | ETL_get_relevant_articles | INFO     | --> Found 60 unique links (was 169 before deduplication)
2025-08-29 | ETL_get_relevant_articles | INFO     | -> Scraping: https://estoesatleti.es
2025-08-29 | ETL_get_relevant_articles | INFO     | --> Found 63 unique links (was 169 before deduplication)
2025-08-29 | ETL_get_relevant_articles | INFO     | -> Scraping: https://www.marca.com/futbol/atletico.html?intcmp=MENUESCU&s_kw=atletico
2025-08-29 | ETL_get_relevant_articles | INFO     | --> Found 431 unique links (was 499 before deduplication)
2025-08-29 | ETL_get_relevant_articles | INFO     | -> Scraping: https://as.com/noticias/atletico-madrid/
2025-08-29 | ETL_get_relevant_articles | INFO     | --> Found 76 unique links (was 124 before deduplication)
2025-08-29 | ETL_get_relevant_articles | INFO     | -> Scraping: https://www.estadiodeportivo.com/futbol/atletico-madrid/
2025-08-29 | ETL_get_relevant_articles | INFO     | --> Found 183 unique links (was 211 before deduplication)
2025-08-29 | ETL_get_relevant_articles | INFO     | -> Scraping: https://www.eldesmarque.com/futbol/atletico-de-madrid/
2025-08-29 | ETL_get_relevant_articles | INFO     | --> Found 139 unique links (was 219 before deduplication)
2025-08-29 | ETL_get_relevant_articles | INFO     | ------------------------------
2025-08-29 | ETL_get_relevant_articles | INFO     | Team 4/20: Barcelona
2025-08-29 | ETL_get_relevant_articles | INFO     | ------------------------------
2025-08-29 | ETL_get_relevant_articles | INFO     | -> Scraping: https://www.sport.es/es/barca/
2025-08-29 | ETL_get_relevant_articles | INFO     | --> Found 342 unique links (was 499 before deduplication)
2025-08-29 | ETL_get_relevant_articles | INFO     | -> Scraping: https://www.mundodeportivo.com/futbol/fc-barcelona
2025-08-29 | ETL_get_relevant_articles | INFO     | --> Found 203 unique links (was 231 before deduplication)
2025-08-29 | ETL_get_relevant_articles | INFO     | -> Scraping: https://www.fcbarcelonanoticias.com
2025-08-29 | ETL_get_relevant_articles | INFO     | --> Found 73 unique links (was 119 before deduplication)
2025-08-29 | ETL_get_relevant_articles | INFO     | -> Scraping: https://www.marca.com/futbol/barcelona.html?intcmp=MENUESCU&s_kw=barcelona
2025-08-29 | ETL_get_relevant_articles | INFO     | --> Found 433 unique links (was 505 before deduplication)
2025-08-29 | ETL_get_relevant_articles | INFO     | -> Scraping: https://as.com/noticias/fc-barcelona/
2025-08-29 | ETL_get_relevant_articles | INFO     | --> Found 78 unique links (was 116 before deduplication)
2025-08-29 | ETL_get_relevant_articles | INFO     | -> Scraping: https://www.estadiodeportivo.com/futbol/barcelona/
2025-08-29 | ETL_get_relevant_articles | INFO     | --> Found 183 unique links (was 211 before deduplication)
2025-08-29 | ETL_get_relevant_articles | INFO     | -> Scraping: https://www.eldesmarque.com/futbol/fc-barcelona/
2025-08-29 | ETL_get_relevant_articles | INFO     | --> Found 140 unique links (was 219 before deduplication)
2025-08-29 | ETL_get_relevant_articles | INFO     | ------------------------------
2025-08-29 | ETL_get_relevant_articles | INFO     | Team 5/20: Betis
2025-08-29 | ETL_get_relevant_articles | INFO     | ------------------------------
2025-08-29 | ETL_get_relevant_articles | INFO     | -> Scraping: https://www.estadiodeportivo.com/futbol/betis/
2025-08-29 | ETL_get_relevant_articles | INFO     | --> Found 189 unique links (was 218 before deduplication)
2025-08-29 | ETL_get_relevant_articles | INFO     | -> Scraping: https://www.eldesmarque.com/futbol/real-betis/
2025-08-29 | ETL_get_relevant_articles | INFO     | --> Found 138 unique links (was 219 before deduplication)
2025-08-29 | ETL_get_relevant_articles | INFO     | -> Scraping: https://www.marca.com/futbol/betis.html?intcmp=MENUESCU&s_kw=betis
2025-08-29 | ETL_get_relevant_articles | INFO     | --> Found 430 unique links (was 497 before deduplication)
2025-08-29 | ETL_get_relevant_articles | INFO     | -> Scraping: https://as.com/noticias/real-betis/?omnil=mod_esc
2025-08-29 | ETL_get_relevant_articles | INFO     | --> Found 81 unique links (was 126 before deduplication)
2025-08-29 | ETL_get_relevant_articles | INFO     | ------------------------------
2025-08-29 | ETL_get_relevant_articles | INFO     | Team 6/20: Celta de Vigo
2025-08-29 | ETL_get_relevant_articles | INFO     | ------------------------------
2025-08-29 | ETL_get_relevant_articles | INFO     | -> Scraping: https://www.farodevigo.es/celta-de-vigo/
2025-08-29 | ETL_get_relevant_articles | INFO     | --> Found 164 unique links (was 274 before deduplication)
2025-08-29 | ETL_get_relevant_articles | INFO     | -> Scraping: https://www.lavozdegalicia.es/gradario/
2025-08-29 | ETL_get_relevant_articles | INFO     | --> Found 164 unique links (was 239 before deduplication)
2025-08-29 | ETL_get_relevant_articles | INFO     | -> Scraping: https://www.estadiodeportivo.com/futbol/celta/
2025-08-29 | ETL_get_relevant_articles | INFO     | --> Found 183 unique links (was 211 before deduplication)
2025-08-29 | ETL_get_relevant_articles | INFO     | -> Scraping: https://www.eldesmarque.com/futbol/celta-de-vigo/
2025-08-29 | ETL_get_relevant_articles | INFO     | --> Found 138 unique links (was 218 before deduplication)
2025-08-29 | ETL_get_relevant_articles | INFO     | -> Scraping: https://as.com/noticias/real-club-celta-de-vigo/?omnil=mod_esc
2025-08-29 | ETL_get_relevant_articles | INFO     | --> Found 79 unique links (was 127 before deduplication)
2025-08-29 | ETL_get_relevant_articles | INFO     | -> Scraping: https://www.marca.com/futbol/celta.html?intcmp=MENUESCU&s_kw=celta
