2025-09-11 | ETL_get_transfer_news | INFO     | Logger 'ETL_get_transfer_news' initialized. Logging to: logs/ETL_get_transfer_news.log
2025-09-11 | ETL_get_transfer_news | INFO     | 🚀 Starting ETL pipeline for ETL_get_transfer_news...
2025-09-11 | ETL_get_transfer_news | INFO     | ============================================================
2025-09-11 | ETL_get_transfer_news | INFO     | READING SUPABASE TABLE AND EXTRACTING UNIQUE TEAMS
2025-09-11 | ETL_get_transfer_news | INFO     | ============================================================
2025-09-11 | ETL_get_transfer_news | INFO     | ✅ Retrieved 20 unique teams from 'article_urls'
2025-09-11 | ETL_get_transfer_news | INFO     | Processing 20 teams: ['Alaves', 'Athletic Bilbao', 'Atletico Madrid', 'Barcelona', 'Betis', 'Celta de Vigo', 'Elche', 'Espanyol', 'Getafe', 'Girona', 'Levante', 'Mallorca', 'Osasuna', 'Oviedo', 'Rayo Vallecano', 'Real Madrid', 'Real Sociedad', 'Sevilla FC', 'Valencia', 'Villareal']
2025-09-11 | ETL_get_transfer_news | INFO     | ============================================================
2025-09-11 | ETL_get_transfer_news | INFO     | HANDLING TRANSFERS FOR TEAM: Alaves
2025-09-11 | ETL_get_transfer_news | INFO     | ============================================================
2025-09-11 | ETL_get_transfer_news | INFO     | Extract all articles from the last 30 days...
2025-09-11 | ETL_get_transfer_news | INFO     | ✅ Retrieved 799 articles from 'article_contents' (last 30 days).
2025-09-11 | ETL_get_transfer_news | INFO     | Filtering articles for team: Alaves
2025-09-11 | ETL_get_transfer_news | INFO     | Filtering articles with injury tags: ['fichajes', 'renovaciones']
2025-09-11 | ETL_get_transfer_news | INFO     | Found 50 transfer-tagged articles for Alaves
2025-09-11 | ETL_get_transfer_news | INFO     | ------------------------------
2025-09-11 | ETL_get_transfer_news | INFO     | FORMATTING LLM OUTPUT FOR TRANSFER TABLE
2025-09-11 | ETL_get_transfer_news | INFO     | ------------------------------
2025-09-11 | ETL_get_transfer_news | INFO     | Transforming the dataframe to dictionary format for LLM ingestion
2025-09-11 | ETL_get_transfer_news | INFO     | Prepared 50 article snippets (dropped 0 with no usable text; limit 60).
2025-09-11 | ETL_get_transfer_news | INFO     | Building system and user prompts for LLM
2025-09-11 | ETL_get_transfer_news | INFO     | Calling LLM orchestrator
2025-09-11 | ETL_get_transfer_news | INFO     | 🔁 Trying Gemini (Google) model...
2025-09-11 | ETL_get_transfer_news | INFO     | Gemini returned a valid response.
2025-09-11 | ETL_get_transfer_news | INFO     | ------------------------------
2025-09-11 | ETL_get_transfer_news | INFO     | WRITING RESULTS BACK TO SUPABASE
