2025-09-11 | structured_news_runner | INFO     | Logger 'structured_news_runner' initialized. Logging to: logs/structured_news_runner.log
2025-09-11 | structured_news_runner | INFO     | ============================================================
2025-09-11 | structured_news_runner | INFO     | 🚀 STARTING ENRICHMENT PIPELINE
2025-09-11 | structured_news_runner | INFO     | ============================================================
2025-09-11 | structured_news_runner | INFO     | 🗑️ Cleared existing rows from 'article_for_streamlit'
2025-09-11 | structured_news_runner | INFO     | 🔍 Running ETL_get_injury_news()...
2025-09-11 | structured_news_runner | INFO     | ✅ ETL_get_injury_news completed in 8.34 minutes
2025-09-11 | structured_news_runner | INFO     | 🔍 Running ETL_get_transfer_news()...
2025-09-11 | structured_news_runner | INFO     | ✅ ETL_get_transfer_news completed in 28.00 minutes
2025-09-11 | structured_news_runner | INFO     | 🔍 Running ETL_get_next_match_news()...
2025-09-11 | structured_news_runner | INFO     | ✅ ETL_get_next_match_news completed in 0.01 minutes
2025-09-11 | structured_news_runner | INFO     | 🔍 Running ETL_get_previous_match_news()...
2025-09-11 | structured_news_runner | INFO     | ✅ ETL_get_previous_match_news completed in 6.70 minutes
2025-09-11 | structured_news_runner | INFO     | ============================================================
2025-09-11 | structured_news_runner | INFO     | ✅ FULL PIPELINE COMPLETED SUCCESSFULLY in 43.07 minutes
2025-09-11 | structured_news_runner | INFO     | ============================================================
