2025-08-28 | scraping_biwenger_logger | INFO     | Logger 'scraping_biwenger_logger' initialized. Logging to: logs/runner_scraping_biwenger.log
2025-08-28 | scraping_biwenger_logger | INFO     | ============================================================
2025-08-28 | scraping_biwenger_logger | INFO     | 🚀 STARTING FULL SCRAPING + ENRICHMENT PIPELINE
2025-08-28 | scraping_biwenger_logger | INFO     | ============================================================
2025-08-28 | scraping_biwenger_logger | INFO     | 🔍 Running ETL_get_current_team()...
2025-08-28 | scraping_biwenger_logger | INFO     | ✅ ETL_get_current_team completed in 0.34 minutes
2025-08-28 | scraping_biwenger_logger | INFO     | 🔍 Running ETL_get_player_stats()...
2025-08-28 | scraping_biwenger_logger | INFO     | ✅ ETL_get_player_stats completed in 0.30 minutes
2025-08-28 | scraping_biwenger_logger | INFO     | ============================================================
2025-08-28 | scraping_biwenger_logger | INFO     | ✅ FULL PIPELINE COMPLETED SUCCESSFULLY in 0.65 minutes
2025-08-28 | scraping_biwenger_logger | INFO     | ============================================================
