2025-08-24 | ETL_get_article_contents | INFO     | Logger 'ETL_get_article_contents' initialized. Logging to: logs/ETL_get_article_contents.log
2025-08-24 | ETL_get_article_contents | INFO     | 🚀 Starting ETL pipeline for article contents...
2025-08-24 | ETL_get_article_contents | INFO     | ============================================================
2025-08-24 | ETL_get_article_contents | INFO     | COLLECTING URLS TO SCRAPE THEIR CONTENTS
2025-08-24 | ETL_get_article_contents | INFO     | ============================================================
2025-08-24 | ETL_get_article_contents | INFO     | Retrieved 175 total articles from article_urls.
2025-08-24 | ETL_get_article_contents | INFO     | Retrieved 115 existing article_ids from 'article_contents'
2025-08-24 | ETL_get_article_contents | INFO     | 🆕 60 articles still need to be scraped.
2025-08-24 | ETL_get_article_contents | INFO     | 📋 60 articles pending scraping.
2025-08-24 | ETL_get_article_contents | INFO     | ============================================================
2025-08-24 | ETL_get_article_contents | INFO     | SCRAPING ARTICLE CONTENTS
2025-08-24 | ETL_get_article_contents | INFO     | ============================================================
2025-08-24 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.superdeporte.es/videos/valencia-cf/2025/08/24/sido-expulsion-gaya-frente-osasuna-120898221.html
2025-08-24 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.marca.com/futbol/real-madrid/2025/08/24/valverde-autoridad-blanca-gerrard-xabi-alonso.html
2025-08-24 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.marca.com/futbol/primera-division/2025/05/28/mercado-fichajes-laliga-rumores-altas-bajas-primera-division-temporada-2025-26.html?intcmp=MENUMIGA&s_kw=mercado-de-fichajes
2025-08-24 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.marca.com/resultados/futbol/r-madrid/calendario/C186.html
2025-08-24 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.marca.com/futbol/real-madrid/2025/08/23/directo-i-rueda-prensa-xabi-alons-video.html
2025-08-24 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.marca.com/futbol/real-madrid/2025/08/24/xabi-alonso-abre-mercado-hay-preparados.html#ancla_comentarios
2025-08-24 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.marca.com/futbol/real-madrid/2025/08/24/madrid-cerro-tartiere-primera-abre.html
2025-08-24 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.marca.com/futbol/real-madrid/2025/08/24/ruediger-vuelve-burgos.html
2025-08-24 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.marca.com/resultados/futbol/r-madrid/plantilla/C186.html
2025-08-24 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.marca.com/futbol/real-madrid/2025/08/23/xabi-alonso-parchea-valdebebas.html
2025-08-24 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.marca.com/futbol/real-madrid/2025/08/24/real-madrid-vs-oviedo-valoracion-comentarios.html
2025-08-24 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.marca.com/futbol/real-madrid/2025/08/24/cazorla-estuvo-punto-fichar-madrid-roig-freno-operacion.html
2025-08-24 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.marca.com/futbol/real-madrid/2025/08/23/ruediger-regresa-convocatoria-sigue-thiago-pitarch.html#ancla_comentarios
2025-08-24 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.marca.com/futbol/real-madrid/2025/08/23/ruediger-regresa-convocatoria-sigue-thiago-pitarch.html
2025-08-24 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.marca.com/futbol/primera-division/album/2025/07/31/23-jugadores-inscritos-laliga-faltan-fichajes.html
2025-08-24 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.marca.com/futbol/real-madrid/opinion/2025/08/24/florentino-miami-ventaja-darle-barca-517-millones.html
2025-08-24 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.marca.com/futbol/real-madrid/2025/08/22/oviedo-real-madrid-a-que-hora-es-canal-y-donde-ver-hoy-en-tv-el-partido-de-la-jornada-2-de-laliga-ea-sports.html#ancla_comentarios
2025-08-24 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.marca.com/futbol/real-madrid/2025/08/24/ambientazo-oviedo-recibir-madr-video.html
2025-08-24 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.marca.com/futbol/real-madrid/2025/08/24/real-madrid-espera-llamada-premier.html
2025-08-24 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.marca.com/futbol/real-madrid/2025/08/23/locura-apodera-madrid-trampa-inglesa-mastantuono-mbappe-come-thiago-ultima-ruediger-video.html
2025-08-24 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.marca.com/futbol/real-madrid/2025/08/24/real-madrid-vs-oviedo-valoracion-comentarios.html#ancla_comentarios
2025-08-24 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.marca.com/futbol/real-madrid/2025/08/24/arbeloa-fichaje-queria.html
2025-08-24 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.marca.com/futbol/real-madrid/2025/08/23/xabi-alonso-habla-todos-temas-sacuden-actualidad-madr-video.html
2025-08-24 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.marca.com/resultados/futbol/r-madrid/ficha-equipo/C186.html?intcmp=MENUMIGA&s_kw=ficha-de-equipo
2025-08-24 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.marca.com/futbol/real-madrid/2025/08/24/valverde-autoridad-blanca-gerrard-xabi-alonso.html#ancla_comentarios
2025-08-24 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.marca.com/resultados/futbol/r-madrid/estadisticas/C186.html?intcmp=MENUMIGA&s_kw=estadisticas
2025-08-24 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.marca.com/futbol/real-madrid/2025/08/24/cazorla-estuvo-punto-fichar-madrid-roig-freno-operacion.html#ancla_comentarios
2025-08-24 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.marca.com/futbol/real-madrid/2025/08/23/xabi-alonso-disecciona-madrid-dos-opciones-mastantuono-futuro-rodrygo-datos-vini.html#ancla_comentarios
2025-08-24 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.marca.com/futbol/real-madrid/2025/08/24/xabi-alonso-sorprende-sentando-vinicius.html#ancla_comentarios
2025-08-24 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.marca.com/futbol/real-madrid/2025/08/24/ruediger-vuelve-burgos.html#ancla_comentarios
2025-08-24 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.marca.com/futbol/real-madrid/2025/08/23/xabi-alonso-disecciona-madrid-dos-opciones-mastantuono-futuro-rodrygo-datos-vini.html
2025-08-24 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.marca.com/futbol/oviedo/2025/08/24/oviedo-real-madrid-dia-grande-tartiere-durisima-travesia-desierto.html#ancla_comentarios
2025-08-24 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.marca.com/futbol/real-madrid/opinion/2025/08/24/florentino-miami-ventaja-darle-barca-517-millones.html#ancla_comentarios
2025-08-24 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.marca.com/futbol/mercado-fichajes/2025/08/24/68aabb5bf49425d14d3e5ff3-directo.html
2025-08-24 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.marca.com/futbol/real-madrid/2025/08/24/arbeloa-fichaje-queria.html#ancla_comentarios
