2025-08-28 | ETL_get_specialised_articles | INFO     | Logger 'ETL_get_specialised_articles' initialized. Logging to: logs/ETL_get_specialised_articles.log
2025-08-28 | ETL_get_specialised_articles | INFO     | 🚀 Starting specialised preview article extraction pipeline
2025-08-28 | ETL_get_specialised_articles | INFO     | Scraping base match listing: https://www.jornadaperfecta.com/onces-posibles
2025-08-28 | ETL_get_specialised_articles | INFO     | ➕Found 0 preview links.
2025-08-28 | ETL_get_specialised_articles | INFO     | set()
2025-08-28 | ETL_get_specialised_articles | INFO     | 🔎 Scraped total of 0 match preview links
2025-08-28 | ETL_get_specialised_articles | INFO     | ============================================================
2025-08-28 | ETL_get_specialised_articles | INFO     | STARTING STORAGE PROCESS TO SUPABASE (SPECIALISED MATCH PREVIEWS)
2025-08-28 | ETL_get_specialised_articles | INFO     | ============================================================
2025-08-28 | ETL_get_specialised_articles | INFO     | ✅ Table 'article_urls' found.
2025-08-28 | ETL_get_specialised_articles | INFO     | Fetching existing article URLs from Supabase to filter duplicates...
2025-08-28 | ETL_get_specialised_articles | INFO     | Found 1000 existing records.
2025-08-28 | ETL_get_specialised_articles | INFO     | Prepared 0 unique preview URLs from current scrape.
2025-08-28 | ETL_get_specialised_articles | INFO     | Filtered out 0 duplicates.
2025-08-28 | ETL_get_specialised_articles | INFO     | Ready to insert 0 new articles.
2025-08-28 | ETL_get_specialised_articles | INFO     | ⏩ No new preview articles to insert — skipping write operation.
2025-08-28 | ETL_get_specialised_articles | INFO     | Fetching existing article URLs to deduplicate...
2025-08-28 | ETL_get_specialised_articles | INFO     | 📭 No new preview links to insert.
2025-08-28 | ETL_get_specialised_articles | INFO     | ✅ Specialised article ETL completed
