2025-08-31 | ETL_get_transfer_news | INFO     | Logger 'ETL_get_transfer_news' initialized. Logging to: logs/ETL_get_transfer_news.log
2025-08-31 | ETL_get_transfer_news | INFO     | 🚀 Starting ETL pipeline for ETL_get_transfer_news...
2025-08-31 | ETL_get_transfer_news | INFO     | 🗑️ Cleared existing rows from 'article_for_streamlit'
2025-08-31 | ETL_get_transfer_news | INFO     | ============================================================
2025-08-31 | ETL_get_transfer_news | INFO     | READING SUPABASE TABLE AND EXTRACTING UNIQUE TEAMS
2025-08-31 | ETL_get_transfer_news | INFO     | ============================================================
2025-08-31 | ETL_get_transfer_news | INFO     | ✅ Retrieved 20 unique teams from 'article_urls'
2025-08-31 | ETL_get_transfer_news | INFO     | Processing 20 teams: ['Alaves', 'Athletic Bilbao', 'Atletico Madrid', 'Barcelona', 'Betis', 'Celta de Vigo', 'Elche', 'Espanyol', 'Getafe', 'Girona', 'Levante', 'Mallorca', 'Osasuna', 'Oviedo', 'Rayo Vallecano', 'Real Madrid', 'Real Sociedad', 'Sevilla FC', 'Valencia', 'Villareal']
2025-08-31 | ETL_get_transfer_news | INFO     | ============================================================
2025-08-31 | ETL_get_transfer_news | INFO     | HANDLING TRANSFERS FOR TEAM: Alaves
2025-08-31 | ETL_get_transfer_news | INFO     | ============================================================
2025-08-31 | ETL_get_transfer_news | INFO     | Extract all articles from the last 30 days...
2025-08-31 | ETL_get_transfer_news | INFO     | ✅ Retrieved 803 articles from 'article_contents' (last 30 days).
2025-08-31 | ETL_get_transfer_news | INFO     | Filtering articles for team: Alaves
2025-08-31 | ETL_get_transfer_news | INFO     | No articles for team Alaves. Skipping.
2025-08-31 | ETL_get_transfer_news | INFO     | ============================================================
2025-08-31 | ETL_get_transfer_news | INFO     | HANDLING TRANSFERS FOR TEAM: Athletic Bilbao
2025-08-31 | ETL_get_transfer_news | INFO     | ============================================================
2025-08-31 | ETL_get_transfer_news | INFO     | Extract all articles from the last 30 days...
2025-08-31 | ETL_get_transfer_news | INFO     | ✅ Retrieved 803 articles from 'article_contents' (last 30 days).
2025-08-31 | ETL_get_transfer_news | INFO     | Filtering articles for team: Athletic Bilbao
2025-08-31 | ETL_get_transfer_news | INFO     | No articles for team Athletic Bilbao. Skipping.
2025-08-31 | ETL_get_transfer_news | INFO     | ============================================================
2025-08-31 | ETL_get_transfer_news | INFO     | HANDLING TRANSFERS FOR TEAM: Atletico Madrid
2025-08-31 | ETL_get_transfer_news | INFO     | ============================================================
2025-08-31 | ETL_get_transfer_news | INFO     | Extract all articles from the last 30 days...
2025-08-31 | ETL_get_transfer_news | INFO     | ✅ Retrieved 803 articles from 'article_contents' (last 30 days).
2025-08-31 | ETL_get_transfer_news | INFO     | Filtering articles for team: Atletico Madrid
2025-08-31 | ETL_get_transfer_news | INFO     | No articles for team Atletico Madrid. Skipping.
