2025-09-01 | structured_news_runner | INFO     | Logger 'structured_news_runner' initialized. Logging to: logs/structured_news_runner.log
2025-09-01 | structured_news_runner | INFO     | ============================================================
2025-09-01 | structured_news_runner | INFO     | 🚀 STARTING ENRICHMENT PIPELINE
2025-09-01 | structured_news_runner | INFO     | ============================================================
2025-09-01 | structured_news_runner | INFO     | 🗑️ Cleared existing rows from 'article_for_streamlit'
2025-09-01 | structured_news_runner | INFO     | 🔍 Running ETL_get_injury_news()...
2025-09-01 | structured_news_runner | INFO     | ✅ ETL_get_injury_news completed in 12.45 minutes
2025-09-01 | structured_news_runner | INFO     | 🔍 Running ETL_get_transfer_news()...
2025-09-01 | structured_news_runner | INFO     | ✅ ETL_get_transfer_news completed in 18.10 minutes
2025-09-01 | structured_news_runner | INFO     | 🔍 Running ETL_get_next_match_news()...
2025-09-01 | structured_news_runner | INFO     | ✅ ETL_get_next_match_news completed in 26.34 minutes
2025-09-01 | structured_news_runner | INFO     | 🔍 Running ETL_get_previous_match_news()...
2025-09-01 | structured_news_runner | INFO     | ✅ ETL_get_previous_match_news completed in 14.46 minutes
2025-09-01 | structured_news_runner | INFO     | ============================================================
2025-09-01 | structured_news_runner | INFO     | ✅ FULL PIPELINE COMPLETED SUCCESSFULLY in 71.37 minutes
2025-09-01 | structured_news_runner | INFO     | ============================================================
